id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51146987,King bed st werburghï¿½ï,407120628,Phil,,Ashley,51.46989,-2.5704,Private room,86,1,0,,,2,361,0,
51162745,Fabulous central studio apartment with balcony!,79826129,Olivia,,Central,51.45287,-2.59777,Entire home/apt,80,7,1,2021/10/3,1,3,343,1,
51167267,Cosy Studio in Easton Bristol,90684209,Neil,,Easton,51.46841,-2.56456,Entire home/apt,68,2,4,2021/10/17,1.67,14,349,4,
51170094,Lovely 1-bedroom apartment near stokes Croft,390194768,Rhea,,Ashley,51.4646,-2.58562,Entire home/apt,104,1,3,2021/10/3,1.53,1,350,3,
51182247,Your Apartment No.31,125651447,Your Apartment,,Stoke Bishop,51.47001,-2.61909,Entire home/apt,160,1,2,2021/8/20,0.83,59,63,2,
51201143,Your Apartment I Elmgrove Place,125651447,Your Apartment,,Cotham,51.46811,-2.5968,Entire home/apt,239,1,1,2021/9/6,0.6,59,323,1,
51275261,Private double in Edwardian townhouse (Room 2),30898394,Matt,,Frome Vale,51.48202,-2.52662,Private room,36,1,21,2021/10/10,7.16,2,82,21,
51275334,Boutique 1 bed loft apartment off Whiteladies,11686843,Lucy,,Cotham,51.46475,-2.60473,Entire home/apt,179,2,7,2021/10/24,2.66,1,182,7,
51277087,Beautiful 2 bedroom Garden flat with own parking,275753132,Karen,,Clifton Down,51.46356,-2.61089,Entire home/apt,230,3,7,2021/9/26,2.96,1,305,7,
51282786,Georgian En-suite private Bedroom Near City Centre,415275955,Sandy,,Ashley,51.46652,-2.58785,Private room,80,1,18,2021/10/24,18,4,357,18,
51283816,Southville - Home from Home - 3 bed terrace,4426998,Sarah,,Southville,51.44358,-2.61229,Entire home/apt,120,3,4,2021/10/22,1.41,1,107,4,
51293443,"2 Bed Flat in Easton, Bristol",90684209,Neil,,Easton,51.46734,-2.56222,Entire home/apt,80,2,7,2021/10/5,2.59,14,343,7,
51296857,Student Only Property: Compelling Large Studio Extra - LOS 51 weeks,226804666,Miroslav,,Central,51.4603,-2.60195,Entire home/apt,57,1,0,,,30,0,0,
51296876,Student Only Property: Unique Premium Studio - LOS 51 weeks,226804666,Miroslav,,Cotham,51.46195,-2.60274,Entire home/apt,57,1,0,,,30,0,0,
51296890,Student Only Property: Family Standart Studio - LOS 51 weeks,226804666,Miroslav,,Central,51.46183,-2.60274,Entire home/apt,52,1,0,,,30,0,0,
51297089,Student Only Property: Private 1 Bed Apartment - LOS 51 weeks,226804666,Miroslav,,Cotham,51.46083,-2.6015,Private room,69,1,0,,,30,0,0,
51297102,Student Only Property: Stunning Large Studio with Roof Terrace - LOS 51 weeks,226804666,Miroslav,,Cotham,51.46062,-2.6014,Entire home/apt,62,1,0,,,30,0,0,
51327346,"Temple Quay, 2 Bed Premium Corporate Apartments by StayBC - Gym, Central, Close to Station",176181147,StayBC,,Lawrence Hill,51.45243,-2.58143,Entire home/apt,156,12,0,,,15,365,0,
51327355,"Temple Quay, 1 Bed Premium Corporate Apartments by StayBC - Gym, Central, Close to Station",176181147,StayBC,,Lawrence Hill,51.45444,-2.58086,Entire home/apt,115,20,2,2021/10/10,2,15,365,2,
51347661,Lovely 1 bed flat in Bristol,17276664,Emma,,Windmill Hill,51.43561,-2.59868,Entire home/apt,75,2,1,2021/8/30,0.53,1,72,1,
51357382,"Delightful, airy apartment in leafy St Andrews.",327608603,Anya,,Ashley,51.47036,-2.5859,Entire home/apt,86,2,7,2021/10/12,3.5,2,273,7,
51381318,"Nice one bedroom in a shamed house,",403197614,Yuspha,,St George Central,51.46154,-2.53249,Private room,30,7,1,2021/10/3,1,2,353,1,
51383657,Spacious room 25 minutes walk from bristol centre,142568583,ýýrsula,,Southville,51.44318,-2.6198,Private room,40,2,2,2021/8/30,0.8,1,327,2,
51394846,Lovely room with super king sized bed and en suite,80017730,Molly,,St George West,51.46538,-2.54182,Private room,39,1,15,2021/10/8,5.7,1,328,15,
51397856,Great 1-bed room in shared flat with friendly chap,147960157,Gary,,Central,51.44882,-2.58727,Private room,73,3,2,2021/9/4,0.76,3,331,2,
51401563,"Centrally located, tidy flat  with king-sized bed",147960157,Gary,,Central,51.44738,-2.58559,Entire home/apt,105,3,0,,,3,361,0,
51413800,3 bedroom house with garden,370007237,Cylla,,Bishopston & Ashley Down,51.48508,-2.58998,Entire home/apt,230,4,0,,,1,47,0,
51429468,Contemporary En-suite Bedroom Near City Centre,415275955,Sandy,,Ashley,51.46559,-2.58717,Private room,73,1,9,2021/9/12,4.15,4,356,9,
51429568,Boho-chic En-suite Bedroom Near City Centre,415275955,Sandy,,Ashley,51.46577,-2.58888,Private room,80,1,17,2021/10/17,6.46,4,359,17,
51439891,"Bright, stylish townhouse",34347555,Rebecca,,Brislington East,51.43743,-2.54725,Entire home/apt,80,2,0,,,2,22,0,
51463968,BEAUTIFUL 3 bedroom house in the centre of Bristol,4436057,Eve,,Southville,51.44355,-2.60237,Entire home/apt,390,2,5,2021/10/3,2.68,1,21,5,
51478830,3 bedroom residential home with onsite parking,12516010,David,,Avonmouth & Lawrence Weston,51.49596,-2.67967,Entire home/apt,140,3,7,2021/9/26,3.09,1,362,7,
51495055,Cozy Hideaway in the Heart of Bristol,23684142,Ben,,Cotham,51.46404,-2.59171,Entire home/apt,85,1,16,2021/10/22,7.74,1,143,16,
51512969,Cosy and Colourful self contained flat in Bristol,28228189,Sarah,,Bishopston & Ashley Down,51.48475,-2.58073,Entire home/apt,75,4,0,,,1,146,0,
51519463,Nice place 10 minutes from Bristol city center,159859931,Francesco,,Ashley,51.4636,-2.58888,Private room,32,1,15,2021/10/17,5.92,1,0,15,
51522202,Private room in Clifton,156512013,Stefania,,Clifton,51.45604,-2.6214,Private room,70,1,6,2021/10/11,4,1,357,6,
51529027,Cosy private room in eco-friendly house,9675210,Ella,,St George Central,51.46179,-2.53569,Private room,35,2,6,2021/10/22,3,1,35,6,
51535462,5 bedroom house with off street parking sleeping up to 12 guests,17145557,Pillow,,Lockleaze,51.48029,-2.57607,Entire home/apt,429,2,1,2021/10/10,1,1,335,1,
51553192,Luxury Apartment with Harbour View and Parking,236481623,Mairead,,Hotwells & Harbourside,51.44912,-2.60506,Entire home/apt,293,2,9,2021/10/19,4.5,19,355,9,
51588449,Lovely 1 bed annexe with parking,30156797,Sarah,,Westbury-on-Trym & Henleaze,51.49156,-2.60412,Entire home/apt,60,4,4,2021/10/10,1.79,1,40,4,
51598574,Modern private room with balcony,193245330,Rhodri,,Horfield,51.49233,-2.58608,Private room,60,4,3,2021/9/26,1.73,2,326,3,
51599103,New apartment in the heart of central Bristol,123853583,Kieran,,Ashley,51.46021,-2.58915,Entire home/apt,100,2,11,2021/10/2,5.5,1,85,11,
